id,title
16586375, American
16571439,Italian
16571439, Pub Food
17849620,Asian
17849620, Vietnamese
17849620, Modern Australian
18151467,Desserts
18151467, Fast Food
16572590,Vietnamese
16582129,Sushi
17849649,Burger
16573578,Modern Australian
16573578, Cafe
16576913,Chinese
16576913, Cantonese
16576913, Yum Cha
16577542,Malaysian
16580298,Japanese
18021993,Pizza
18021993, Italian
18282755,Korean
18282755, Asian
18282755, Bar Food
16579916,Continental
16579916, Cafe
16572159,Chinese
16581557,BBQ
16581557, Steak
16580630,Dumplings
16580630, Chinese
16581401,Cafe
16570736,Italian
16572455,Indian
16573177,Thai
16573730,Italian
16573730, Pizza
16581636,Italian
16581636, Pizza
16585403,Burger
16576404,Italian
16581608,Desserts
16581608, Coffee and Tea
16583324,Desserts
16571213,Chinese
16575941,Chinese
16579225,Chinese
16580451,Taiwanese
16713988,Korean
16571262,Dumplings
16571262, Chinese
16571262, Yum Cha
16571497,Chinese
16573052,Asian
16573052, BBQ
16573052, Korean
16575529,Chinese
16581324,Cafe
16581324, Modern Australian
16581324, Bar Food
16583835,Asian
16583835, Chinese
16585887,Japanese
18340023,Modern Australian
16579354,Chinese
16579354, Dumplings
16581568,Cafe
16581568, Modern Australian
16581568, Coffee and Tea
16586387,Cafe
16586387, Coffee and Tea
16581311,Fish and Chips
16574495,French
16574495, Desserts
16574495, Coffee and Tea
16574670,Coffee and Tea
16574670, Desserts
16575955,Cafe
16575955, Bakery
16575955, French
16577647,Desserts
16577647, Cafe
16577647, Coffee and Tea
16713798,Burger
16572053,BBQ
16572053, Chinese
16572053, Seafood
16572846,Pizza
16574380,Mexican
16574380, Tapas
16582656,Burger
16583660,Cafe
16583660, European
16586538,Italian
16586538, Pizza
16571351,Greek
16579008,Cafe
16579008, European
16579008, Coffee and Tea
16573823,Dumplings
16576660,Cafe
16576660, Coffee and Tea
16584193,Italian
16571007,Spanish
16571007, Tapas
16571007, European
16586649,Cafe
16586649, Coffee and Tea
16578257,Chinese
16578257, Dumplings
16586368,Thai
16583392,Cafe
16583392, Asian
16583392, Coffee and Tea
16576608,Modern Australian
16576608, Pub Food
16573053,Fish and Chips
16584412,Indian
16576675,Chinese
16576675, Malaysian
16572234,Chinese
16572234, Seafood
16577760,Japanese
16577760, Ramen
16581879,Cafe
16581879, Mediterranean
16581879, Coffee and Tea
16584834,Steak
16572833,Italian
16585875,Japanese
16579299,BBQ
16579299, Chinese
16579299, Seafood
16583908,Fast Food
17849634,Burger
17849634, Fish and Chips
16577812,Italian
16578741,Thai
16578107,Fish and Chips
16578107, Fast Food
16578967,Modern Australian
16578967, Cafe
16578967, Coffee and Tea
16576146,Chinese
16578592,Cafe
16570903,Indian
16580384,Burger
16580384, Fish and Chips
16572920,Thai
16573587,Chinese
16573587, Dumplings
16576897,Cafe
16577143,Thai
16580058,Chinese
16580058, Dumplings
18382787,Korean
18382787, Bar Food
18382787, Asian
16575787,Fish and Chips
16578219,Italian
16578219, Pizza
16577698,Bakery
16577698, Cafe
16577698, Coffee and Tea
16583131,Beverages
16575461,Chinese
16585844,Fish and Chips
16585844, Burger
18381096,Charcoal Chicken
16574612,Japanese
16574612, Sushi
16578305,Asian
16578305, Chinese
16579007,Chinese
16574303,French
16574303, Seafood
16574303, Steak
16578059,Steak
16575146,Bakery
16575146, French
16581345,Indian
16582059,Burger
17974765,Cafe
17974765, Healthy Food
16579523,Dumplings
16579523, Chinese
16580558,Thai
16582573,Asian
16582573, Japanese
16583506,Chinese
16583506, Dumplings
17849561,Italian
17849561, Pizza
17849641,Chinese
17849641, Dumplings
16573537,Greek
16573537, Mediterranean
16574848,Chinese
16574848, Dumplings
16574848, Yum Cha
16584141,Asian
16584141, Thai
16584141, Vietnamese
18142693,Japanese
18162499,European
18162499, Tapas
18162499, Italian
16577683,Cafe
16577683, Modern Australian
16577683, Coffee and Tea
16571144,Seafood
16571544,Cafe
16571544, Desserts
16571544, Bakery
16571544, Coffee and Tea
16573089,Japanese
16573089, Sushi
16580201,Japanese
16580201, Seafood
16580201, Tapas
16571718,Asian
16571718, Chinese
16580674,Asian
16580674, Seafood
16580674, Modern Australian
16573970,Cafe
16573970, Eastern European
16572110,Japanese
16576101,Cafe
16576101, Healthy Food
16576101, Vegetarian
16576101, Coffee and Tea
16580994,Fish and Chips
16578537,Italian
16578537, Pizza
16581206,Fish and Chips
16581206, Seafood
16583501,Modern Australian
16583501, Contemporary
18151469,Fish and Chips
18151469, Seafood
16570703,Asian
16570703, Malaysian
16583461,Fish and Chips
16576348,Italian
16576348, Pizza
16576348, Mediterranean
16576348, Beverages
16576348, Desserts
16576348, European
16578913,Modern Australian
16583514,Malaysian
16571323,Pizza
16571323, Italian
16585578,Japanese
16585939,Drinks Only
16580617,Fish and Chips
16580617, Burger
16581116,Burger
16581116, Seafood
18232579,Cafe
18232579, Modern Australian
18232579, Coffee and Tea
16579499,Cafe
16579499, Modern Australian
16579499, Coffee and Tea
16585571,Fish and Chips
16585571, Seafood
16574673,Tapas
16574673, Modern Australian
16574673, Cafe
16575414,Indian
16573607,Thai
16578399,Fast Food
16578399, Pizza
16580427,French
16579554,Seafood
16579554, Modern Australian
16584989,Spanish
16584989, Tapas
16584989, Cafe
16584989, Coffee and Tea
16580020,Asian
16573164,Greek
16586740,Cafe
16586740, Modern Australian
16570904,Indian
16573192,Asian
16574320,Indian
16577070,Asian
16577070, Chinese
16573148,Steak
16574543,Cafe
16574543, Modern Australian
16577224,Cafe
16577224, Coffee and Tea
16582807,Sushi
16582807, Japanese
16575165,Spanish
16575165, Tapas
16579845,Tapas
16579845, Modern Australian
16570715,Deli
16570715, Cafe
16571464,Steak
16571464, Modern Australian
16571955,Japanese
16572216,Italian
16576667,Cafe
16576667, Modern Australian
16576667, European
16572005,Pub Food
16572005, Modern Australian
16578409,Modern Australian
16578409, Cafe
16572106,Modern Australian
16572625,Seafood
16572625, Modern Australian
16574371,Steak
16574371, Pub Food
16574550,Asian
16574550, Vietnamese
16576064,Indian
16578370,Italian
16578370, Pizza
16574804,European
16574804, Modern Australian
16583539,Italian
16574881,Modern Australian
16575177,Bar Food
16575177, Modern Australian
16574823,Italian
16574823, Vegetarian
16577701,Cafe
16577701, Coffee and Tea
16577277,Cafe
16577277, French
16577277, Coffee and Tea
16577370,Modern Australian
16577370, Cafe
16577370, Coffee and Tea
18153463,Asian
18153463, Modern Australian
16573224,Italian
16573916,Cafe
16573916, Coffee and Tea
16574697,French
16574697, Seafood
16574697, Steak
16585998,Indian
18214093,Cafe
18214093, Coffee and Tea
16583717,Fish and Chips
16585104,Steak
16580667,Modern Australian
16580667, Australian
16572383,Vietnamese
16572383, Chinese
16576370,Fish and Chips
16576370, Burger
16582429,Fast Food
16582429, Middle Eastern
16582429, Eastern European
16711836,Steak
16711836, Cafe
16711846,Cafe
16711846, Healthy Food
16711846, Coffee and Tea
16713136,Cafe
16713155,Desserts
16713155, Coffee and Tea
16713963,Cafe
16713963, Desserts
16713963, Coffee and Tea
18376829,BBQ
18376829, American
18394216,Fish and Chips
18418612,Bakery
18427112,Fish and Chips
18431040,Malaysian
18431040, Singaporean
18449488,Beverages
18449488, Healthy Food
18461118,Bakery
18461118, Desserts
18475957,Steak
18475957, Grill
18478109,Malaysian
18486339,Mediterranean
18486339, Kebabs
18486341,Bar Food
16571339,Fish and Chips
16571339, Sushi
16572683,Thai
16573621,Desserts
16573621, Cafe
16573621, Coffee and Tea
16586582,Japanese
16586701,Japanese
16711069,Asian
16712077,Asian
16712077, Sushi
16712077, Fast Food
16712411,Vietnamese
16712411, Pho
16712579,Pizza
16712716,BBQ
16712716, Fast Food
16713266,Asian
16713312,Fast Food
16713312, Seafood
16713330,Cafe
16713330, Vegetarian
16713525,Cafe
16713525, Coffee and Tea
16713579,Fish and Chips
16713739,Cafe
16713739, Coffee and Tea
16713976,Asian
17974749,Coffee and Tea
18017109,Chinese
18017109, Asian
18207879,Burger
18220776,Cafe
18220776, French
18275831,Uruguayan
18275831, Grill
18316731,Pizza
18322815,Japanese
