word,frequency,rank
possess,138,1297
macb,137,1298
force,137,1299
continually,137,1300
below,137,1301
england,137,1302
supposed,137,1303
corn,137,1304
public,137,1305
joab,137,1306
satan,137,1307
th,137,1308
engaged,136,1309
higher,136,1310
remembered,136,1311
hurt,136,1312
moments,136,1313
bath,136,1314
altogether,136,1315
ourselves,136,1316
bottom,136,1317
vanity,136,1318
bowed,136,1319
observe,136,1320
songs,135,1321
spite,135,1322
act,135,1323
notice,135,1324
goeth,135,1325
rivers,135,1326
eaten,134,1327
greatly,134,1328
choose,134,1329
served,134,1330
sold,134,1331
mistress,134,1332
particularly,134,1333
empty,133,1334
easily,133,1335
captivity,133,1336
fierce,133,1337
warm,133,1338
spot,133,1339
flock,133,1340
height,133,1341
music,132,1342
calm,132,1343
numbered,132,1344
placed,132,1345
drive,132,1346
maketh,132,1347
unknown,132,1348
walter,132,1349
tribes,132,1350
huge,132,1351
judgments,132,1352
single,132,1353
wrought,131,1354
seventh,131,1355
equally,131,1356
consequence,131,1357
faithful,131,1358
sail,131,1359
move,131,1360
tail,131,1361
gentiles,131,1362
meaning,131,1363
perish,131,1364
raise,131,1365
nose,131,1366
hot,131,1367
isaac,130,1368
sharp,130,1369
swear,130,1370
drawn,130,1371
evan,130,1372
named,130,1373
smite,130,1374
walls,130,1375
scarcely,130,1376
increase,130,1377
circumstances,130,1378
temper,130,1379
instantly,130,1380
feared,130,1381
growing,129,1382
mayest,129,1383
slay,129,1384
declared,129,1385
village,129,1386
square,129,1387
paid,129,1388
daily,129,1389
laughed,129,1390
calling,129,1391
hezekiah,128,1392
foolish,128,1393
skin,128,1394
formed,128,1395
prison,128,1396
occasion,128,1397
smoke,128,1398
reached,128,1399
steps,128,1400
spent,128,1401
cottage,128,1402
serious,128,1403
touched,128,1404
quickly,128,1405
labour,128,1406
getting,128,1407
maid,128,1408
conduct,128,1409
distant,128,1410
sinned,127,1411
handsome,127,1412
strangers,127,1413
considered,127,1414
box,127,1415
ease,127,1416
fail,127,1417
started,127,1418
haste,126,1419
destruction,126,1420
grown,126,1421
imagine,126,1422
somehow,126,1423
effect,126,1424
otherwise,126,1425
thrown,126,1426
giveth,126,1427
thanks,125,1428
nearer,125,1429
sore,125,1430
hall,125,1431
miles,125,1432
loose,124,1433
ocean,124,1434
learn,124,1435
board,124,1436
doctor,124,1437
samaria,124,1438
beat,124,1439
reward,123,1440
voyage,123,1441
birds,123,1442
tent,123,1443
heere,123,1444
flambeau,123,1445
escaped,123,1446
truly,123,1447
naked,123,1448
flying,123,1449
abroad,122,1450
hurry,122,1451
forgive,122,1452
highbury,122,1453
assyria,122,1454
dress,122,1455
soldiers,121,1456
pequod,121,1457
bull,121,1458
poured,121,1459
speake,121,1460
bates,121,1461
paper,121,1462
